submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
08/01/2020,VA,91782,88324.0,3458.0,981,24.0,2218,2108.0,110.0,3,0.0,Agree,Agree,Virginia
08/22/2020,WI,74726,70009.0,4717.0,975,25.0,1089,1081.0,8.0,14,1.0,Agree,Agree,Wisconsin
02/23/2021,TN,770797,647057.0,123740.0,1943,613.0,11390,9170.0,2220.0,23,5.0,Agree,Agree,Tennessee
02/15/2020,NC,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,North Carolina
01/20/2021,AK,50958,0.0,0.0,161,0.0,304,0.0,0.0,1,0.0,0,0,Alaska
11/13/2020,NM,62006,0.0,0.0,1230,0.0,1398,0.0,0.0,36,3.0,0,Not agree,New Mexico
11/13/2020,SC,192689,180935.0,11754.0,1606,214.0,4201,0.0,0.0,18,2.0,Agree,Not agree,South Carolina
11/04/2020,NC,288300,274721.0,13579.0,2941,300.0,4879,4759.0,120.0,31,0.0,Agree,Agree,North Carolina
10/11/2021,NV,438093,428043.0,10050.0,617,71.0,7315,0.0,0.0,10,0.0,Agree,0,Nevada
04/02/2021,GA,1062555,854416.0,208139.0,1582,439.0,19176,16727.0,2449.0,57,-6.0,Agree,Agree,Georgia
10/07/2021,MO,831384,0.0,0.0,1595,449.0,11690,0.0,0.0,5,0.0,Not agree,Not agree,Missouri
11/30/2020,DE,36518,35137.0,1381.0,682,11.0,777,683.0,94.0,5,1.0,Agree,Agree,Delaware
07/17/2020,AR,31762,0.0,0.0,648,0.0,353,0.0,0.0,12,0.0,Not agree,Not agree,Arkansas
03/01/2020,SD,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,Agree,South Dakota
06/03/2021,LA,472617,0.0,0.0,313,88.0,10605,9618.0,987.0,10,2.0,Not agree,Agree,Louisiana
03/16/2021,HI,28357,0.0,0.0,45,0.0,448,0.0,0.0,0,0.0,Not agree,Not agree,Hawaii
04/05/2020,DC,998,0.0,0.0,96,0.0,22,0.0,0.0,1,0.0,0,0,District of Columbia
09/02/2021,WA,571468,0.0,0.0,4364,862.0,6643,0.0,0.0,32,0.0,0,0,Washington
04/05/2020,CA,24432,24390.0,42.0,1511,1.0,696,696.0,0.0,53,0.0,Agree,Agree,California
01/01/2021,WA,250630,0.0,0.0,4217,220.0,3461,0.0,0.0,0,0.0,0,0,Washington
01/05/2021,KY,293813,234429.0,59384.0,4803,1364.0,5059,4568.0,491.0,46,4.0,Agree,Agree,Kentucky
12/26/2020,NH,39933,0.0,0.0,1031,639.0,701,0.0,0.0,11,5.0,Not agree,Not agree,New Hampshire
03/20/2021,TX,2743179,0.0,0.0,3794,1283.0,48175,0.0,0.0,74,0.0,Not agree,Not agree,Texas
01/24/2020,VA,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,Virginia
02/06/2021,KY,385982,299324.0,86658.0,1941,400.0,6307,5653.0,654.0,26,2.0,Agree,Agree,Kentucky
10/14/2021,SD,149678,0.0,0.0,341,74.0,2182,1804.0,378.0,5,0.0,0,Agree,South Dakota
11/11/2020,MN,194570,0.0,0.0,4889,93.0,2810,2720.0,90.0,58,6.0,0,Agree,Minnesota
03/27/2020,IN,981,0.0,0.0,336,0.0,51,45.0,6.0,4,1.0,Not agree,Agree,Indiana
12/14/2020,MI,542890,499644.0,43246.0,3951,306.0,12008,11386.0,622.0,126,13.0,Agree,Agree,Michigan
11/12/2020,CO,154936,145059.0,9877.0,5675,261.0,2468,2060.0,408.0,25,4.0,Agree,Agree,Colorado
09/04/2021,PA,1316505,1096162.0,220343.0,4783,967.0,28380,0.0,0.0,28,0.0,Agree,Not agree,Pennsylvania
08/27/2021,KS,365773,293098.0,72675.0,1726,372.0,5547,0.0,0.0,12,1.0,Agree,0,Kansas
08/31/2020,WV,10250,10066.0,184.0,140,2.0,214,0.0,0.0,1,0.0,Agree,Not agree,West Virginia
05/29/2021,PA,1207248,1011973.0,195275.0,782,206.0,27203,0.0,0.0,16,-39.0,Agree,Not agree,Pennsylvania
05/17/2021,AZ,873446,808758.0,64688.0,468,59.0,17466,15527.0,1939.0,0,0.0,Agree,Agree,Arizona
01/18/2021,AZ,679688,641925.0,37763.0,5403,345.0,11265,10125.0,1140.0,-1,-2.0,Agree,Agree,Arizona
08/14/2021,OH,1157782,962798.0,194984.0,2460,280.0,20614,20614.0,0.0,0,0.0,Agree,Agree,Ohio
06/17/2020,AZ,40932,40585.0,347.0,1828,4.0,1239,1159.0,80.0,20,1.0,Agree,Agree,Arizona
