submission_date,code,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,consent_cases,consent_deaths,State
07/05/2021,NJ,1024311,893890.0,130421.0,86,-21.0,26477,23774.0,2703.0,4,0.0,Agree,Agree,New Jersey
05/16/2021,NJ,1010759,882973.0,127786.0,269,46.0,25961,23313.0,2648.0,9,0.0,Agree,Agree,New Jersey
02/10/2021,NJ,732674,653955.0,78719.0,4370,678.0,22250,20004.0,2246.0,147,59.0,Agree,Agree,New Jersey
09/22/2021,NJ,1139367,990671.0,148696.0,2351,390.0,27264,24491.0,2773.0,24,0.0,Agree,Agree,New Jersey
06/30/2020,NJ,172678,0.0,0.0,433,38.0,15035,13181.0,1854.0,43,0.0,Not agree,Agree,New Jersey
07/29/2020,NJ,182977,0.0,0.0,506,35.0,15798,13923.0,1875.0,-27,-45.0,Not agree,Agree,New Jersey
04/24/2020,NJ,102196,102196.0,0.0,2207,0.0,5617,5617.0,0.0,249,0.0,Agree,Agree,New Jersey
07/14/2021,NJ,1027014,896191.0,130823.0,365,29.0,26527,23811.0,2716.0,11,7.0,Agree,Agree,New Jersey
08/05/2020,NJ,185824,0.0,0.0,403,46.0,15842,13989.0,1853.0,-15,-22.0,Not agree,Agree,New Jersey
08/28/2021,NJ,1086480,947298.0,139182.0,1934,353.0,26844,24122.0,2722.0,18,0.0,Agree,Agree,New Jersey
02/16/2020,NJ,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,New Jersey
04/19/2021,NJ,981036,860447.0,120589.0,2183,255.0,25161,22569.0,2592.0,18,0.0,Agree,Agree,New Jersey
05/23/2021,NJ,1014088,885907.0,128181.0,301,26.0,26091,23431.0,2660.0,7,0.0,Agree,Agree,New Jersey
05/03/2020,NJ,126764,0.0,0.0,3028,1.0,7871,7871.0,0.0,129,0.0,Not agree,Agree,New Jersey
03/14/2020,NJ,44,0.0,0.0,14,0.0,1,0.0,0.0,0,0.0,Agree,Agree,New Jersey
